Time (s),Heat Release Rate (kW),Burner HRR (kW),Exhaust Mass Flow Rate (kg/s),Oxygen (Vol Fr),CO2 (Vol Fr),CO (Vol Fr),Radiant Heat Flux (kW/m^2),Ksmoke (1/m)
-226,-0.2,0,16.817,0.20948,0.0004484,1.2e-06,0.019983,0.003
-225,-0.2,0,16.817,0.20948,0.0004484,1.2e-06,0.019983,0.003
-224,-0.21,0,16.817,0.20948,0.0004485,1.2e-06,0.019641,-0
-223,-0.19,0,16.817,0.20947,0.0004482,1.1e-06,0.01856,-0
-222,-0.15,0,16.817,0.20947,0.0004475,1.2e-06,0.020286,-0.001
-221,-0.14,0,16.818,0.20948,0.0004476,1e-06,0.022474,-0.001
-220,-0.12,0,16.817,0.20948,0.0004474,9e-07,0.021268,-0.004
-219,-0.12,0,16.817,0.20948,0.0004474,1e-06,0.02151,0.001
-218,-0.12,0,16.818,0.20948,0.0004473,1e-06,0.019874,-0.001
-217,-0.12,0,16.818,0.20948,0.0004475,9e-07,0.022033,-0.002
-216,-0.15,0,16.818,0.20948,0.000448,9e-07,0.021645,-0.004
-215,-0.12,0,16.755,0.20948,0.0004474,1e-06,0.018024,-0.004
-214,-0.13,0,16.732,0.20949,0.0004476,1e-06,0.015435,-0.005
-213,-0.12,0,16.716,0.20948,0.0004475,1e-06,0.018644,-0.006
-212,-0.13,0,16.814,0.20949,0.0004476,9e-07,0.019794,-0.002
-211,-0.14,0,16.77,0.20948,0.000448,9e-07,0.017322,0
-210,-0.19,0,16.763,0.20949,0.0004488,8e-07,0.016169,-0.004
-209,-0.19,0,16.785,0.20948,0.0004488,9e-07,0.016563,-0.002
-208,-0.17,0,16.787,0.20949,0.0004483,9e-07,0.018675,-0.003
-207,-0.16,0,16.743,0.20948,0.0004483,9e-07,0.0203,-0.002
-206,-0.17,0,16.588,0.20948,0.0004485,8e-07,0.022528,-0.004
-205,-0.17,0,16.504,0.20948,0.0004485,8e-07,0.019571,0
-204,-0.18,0,16.609,0.20947,0.0004484,1e-06,0.016375,-0.001
-203,-0.19,0,16.618,0.20948,0.0004482,1.1e-06,0.013013,-0.001
-202,-0.15,0,16.585,0.20948,0.0004478,1.1e-06,0.016692,0.002
-201,-0.15,0,16.57,0.20948,0.0004477,1.1e-06,0.019254,0.001
-200,-0.15,0,16.552,0.20948,0.0004478,1.1e-06,0.02133,0.003
-199,-0.15,0,16.46,0.20948,0.0004479,1e-06,0.022733,0.001
