Time (s),Heat Release Rate (kW),NG Burner HRR (kW),Exhaust Mass Flow Rate (kg/s),Oxygen (Vol Fr),CO2 (Vol Fr),CO (Vol Fr),Radiant Heat Flux (kW/m^2),Ksmoke (1/m)
-475,-0.04,-0.14,3.0923,0.20939,0.0004249,1.8e-06,0.027263,0.001
-474,-0.04,-0.14,3.0923,0.20939,0.0004249,1.8e-06,0.027263,0.001
-473,-0.04,-0.19,3.0923,0.20938,0.0004242,2e-06,0.027235,0
-472,-0.03,-0.21,3.0922,0.20938,0.0004241,1.7e-06,0.023602,0
-471,-0.03,-0.2,3.0923,0.20939,0.0004243,1.5e-06,0.022892,0
-470,-0.03,-0.09,3.0923,0.20938,0.0004243,1.6e-06,0.026887,-0
-469,-0.04,-0.2,3.0923,0.20939,0.0004252,1.4e-06,0.028262,-0
-468,-0.03,-0.12,3.0923,0.20938,0.0004251,1e-06,0.028487,0
-467,-0.03,-0.28,3.0923,0.20938,0.0004253,1e-06,0.024165,0
-466,-0.03,-0.17,3.0923,0.20939,0.0004253,1e-06,0.022423,0.001
-465,-0.03,-0.19,3.0923,0.20938,0.0004251,1.2e-06,0.027076,0
-464,-0.04,-0.13,3.0945,0.20939,0.0004252,1.6e-06,0.030724,0
-463,-0.04,-0.16,3.094,0.20939,0.0004253,1.6e-06,0.030184,0
-462,-0.05,-0.09,3.0892,0.20937,0.0004253,1.6e-06,0.026575,-0
-461,-0.04,-0.14,3.0934,0.20939,0.0004255,1.4e-06,0.025031,-0
-460,-0.04,-0.11,3.0927,0.20938,0.0004251,1.4e-06,0.021077,0.001
-459,-0.03,-0.11,3.0968,0.20938,0.0004243,1.4e-06,0.018012,0
-458,-0.03,-0.11,3.1033,0.20939,0.0004247,1.4e-06,0.020415,0
-457,-0.03,-0.27,3.1089,0.20938,0.0004244,1.3e-06,0.021189,0
-456,-0.03,-0.25,3.109,0.20939,0.0004242,1.4e-06,0.024919,0
-455,-0.02,-0.15,3.1137,0.20939,0.0004237,1.4e-06,0.024782,0
-454,-0.02,-0.02,3.1162,0.20939,0.0004241,1.2e-06,0.024118,0
-453,-0.03,-0.2,3.1163,0.20939,0.0004243,1.2e-06,0.022411,0
