Time (s),Heat Release Rate (kW),NG Burner HRR (kW),Exhaust Mass Flow Rate (kg/s),Oxygen (Vol Fr),CO2 (Vol Fr),CO (Vol Fr),Radiant Heat Flux (kW/m^2),Ksmoke (1/m)
-155,0.03,-0.18,3.1594,0.20938,0.0004701,3e-07,-0.004877,0.001
-154,0.03,-0.18,3.1594,0.20938,0.0004701,3e-07,-0.004877,0.001
-153,0.03,-0.2,3.1593,0.20938,0.0004705,4e-07,-0.007094,0
-152,0.04,-0.21,3.1594,0.20937,0.0004704,-1e-07,-0.009896,0
-151,0.04,-0.19,3.1593,0.20939,0.0004707,-2e-07,-0.008483,0
-150,0.03,-0.18,3.1593,0.20939,0.0004714,-2e-07,-0.005602,-0.001
-149,0.04,-0.22,3.1594,0.20939,0.0004707,-3e-07,-0.000278,0.001
-148,0.04,-0.14,3.1594,0.20938,0.0004707,-5e-07,0.002085,-0.001
-147,0.04,-0.17,3.1594,0.20937,0.0004706,-4e-07,0.003869,0
-146,0.04,-0.21,3.1593,0.20937,0.0004706,-3e-07,0.005377,0
-145,0.03,-0.18,3.1594,0.20938,0.0004714,-3e-07,0.001354,0
-144,0.03,-0.17,3.1557,0.20939,0.0004707,-0,-0.000842,0
-143,0.03,-0.22,3.1607,0.20938,0.0004706,1e-07,-0.006075,0.001
-142,0.03,-0.2,3.162,0.20938,0.0004705,1e-07,-0.008285,-0.001
-141,0.04,-0.14,3.1604,0.20938,0.0004696,3e-07,-0.008297,-0
-140,0.04,-0.19,3.1637,0.20938,0.0004697,0,-0.004247,0
-139,0.04,-0.2,3.1624,0.20938,0.0004704,-3e-07,-0.005359,-0
-138,0.04,-0.23,3.1591,0.20937,0.0004704,-4e-07,-0.010126,-0.001
-137,0.04,-0.12,3.1525,0.20938,0.0004705,-3e-07,-0.014686,0
-136,0.03,-0.2,3.1529,0.20937,0.0004712,-0,-0.01254,0.001
-135,0.03,-0.08,3.1525,0.20938,0.0004708,2e-07,-0.009719,0
-134,0.03,-0.09,3.1547,0.20937,0.0004706,0,-0.00803,0
-133,0.03,-0.25,3.1529,0.20938,0.0004711,-4e-07,-0.010344,0
-132,0.03,-0.18,3.1514,0.20939,0.0004712,-4e-07,-0.012502,-0
-131,0.02,-0.15,3.1527,0.20938,0.000472,-3e-07,-0.010354,0
-130,0.01,-0.14,3.1478,0.20938,0.0004725,-1e-07,-0.0067,0
-129,0.02,-0.22,3.1468,0.20938,0.0004722,-4e-07,-0.000421,0
-128,0.02,-0.17,3.1521,0.20939,0.0004722,-4e-07,0.000933,-0.001
-127,0.03,-0.25,3.1558,0.20938,0.0004716,-4e-07,-0.002062,0
-126,0.03,-0.19,3.1524,0.20938,0.0004714,-3e-07,-0.004741,0.001
-125,0.01,-0.07,3.1559,0.20938,0.0004722,1e-07,-0.003128,0
-124,0,-0.22,3.1525,0.20938,0.0004725,3e-07,-0.002105,-0.001
-123,0.01,-0.26,3.1521,0.20938,0.0004727,-1e-07,-0.002136,-0
-122,0.01,-0.17,3.1512,0.20937,0.0004727,-4e-07,-0.002359,0
-121,0.02,-0.32,3.1485,0.20938,0.0004723,-6e-07,0.000667,-0.001
-120,0.02,-0.25,3.1516,0.20937,0.0004725,-7e-07,0.004776,-0.001
-119,0.02,-0.29,3.1505,0.20938,0.0004725,-5e-07,0.005498,0.001
-118,0.02,-0.23,3.1496,0.20938,0.0004725,-7e-07,0.004048,0
-117,0.02,-0.12,3.152,0.20938,0.0004726,-4e-07,0.00407,0
-116,-0.14,-0.12,3.1549,0.20938,0.0004725,-1e-07,0.001161,-0.001
-115,0.03,-0.22,3.1508,0.20938,0.000473,-2e-07,0.002612,0
-114,0.93,-0.21,3.1525,0.20936,0.0004726,-2e-07,0.0058,-0
-113,-0.03,-0.14,3.1495,0.20938,0.0004726,-2e-07,0.007113,-0
-112,-0.8,-0.17,3.148,0.20939,0.0004729,1e-07,0.005352,-0.001
-111,-0.13,-0.18,3.1508,0.20938,0.0004736,-0,-0.002982,-0
-110,0.13,-0.19,3.1489,0.20937,0.0004735,-0,0.000849,-0
-109,0.61,-0.12,3.1507,0.20937,0.0004736,1e-07,0.003374,-0
-108,0,-0.25,3.1503,0.20938,0.0004735,-0,0.004304,0
-107,-0.28,-0.19,3.1519,0.20938,0.0004735,-3e-07,0.006435,0
-106,-0.08,-0.22,3.1546,0.20938,0.0004736,-4e-07,0.005393,0
