Time (s),Heat Release Rate (kW),NG Burner HRR (kW),Exhaust Mass Flow Rate (kg/s),Oxygen (Vol Fr),CO2 (Vol Fr),CO (Vol Fr),Radiant Heat Flux (kW/m^2),Ksmoke (1/m)
-124,-0.02,-0.2,2.0196,0.20936,0.0004593,1.3e-06,0.058845,0
-123,-0.02,-0.2,2.0196,0.20936,0.0004593,1.3e-06,0.058845,0
-122,-0.02,-0.11,2.0196,0.20936,0.0004594,1.3e-06,0.059882,0
-121,-0.03,-0.29,2.0196,0.20935,0.0004595,1.6e-06,0.062718,0
-120,-0.03,-0.18,2.0196,0.20936,0.0004596,1.6e-06,0.062954,-0
-119,-0.03,-0.24,2.0196,0.20936,0.0004601,1.5e-06,0.060862,0
-118,-0.04,-0.28,2.0196,0.20936,0.0004603,1.6e-06,0.054584,0
-117,-0.04,-0.18,2.0196,0.20935,0.0004605,1.5e-06,0.051485,0
-116,-0.04,-0.22,2.0196,0.20935,0.0004605,1.6e-06,0.058051,-0
-115,-0.03,-0.23,2.0196,0.20936,0.0004598,1.5e-06,0.060117,0
-114,-0.03,-0.21,2.0196,0.20936,0.0004594,1.5e-06,0.059009,0
-113,-0.03,-0.25,2.0217,0.20934,0.00046,1.6e-06,0.059172,0
-112,-0.03,-0.26,2.0219,0.20936,0.0004596,1.8e-06,0.062445,-0.001
-111,-0.04,-0.22,2.0265,0.20936,0.0004601,1.9e-06,0.063641,0
-110,-0.04,-0.27,2.0254,0.20936,0.0004605,1.9e-06,0.063357,0
-109,-0.04,-0.19,2.0251,0.20937,0.0004604,2e-06,0.064151,0
-108,-0.04,-0.19,2.0229,0.20936,0.0004598,2.1e-06,0.062887,-0
-107,-0.03,-0.24,2.0179,0.20936,0.0004594,1.9e-06,0.062013,-0
-106,-0.03,-0.31,2.0157,0.20936,0.0004593,1.9e-06,0.062443,0
-105,-0.04,-0.19,2.0142,0.20935,0.0004594,2.2e-06,0.06197,0
-104,-0.04,-0.18,2.0121,0.20935,0.0004598,2.1e-06,0.060262,-0
-103,-0.04,-0.2,2.0097,0.20936,0.0004604,2.1e-06,0.059007,-0
